gene,human_disease_association
A1CF,"Colorectal adenoma, Colorectal cancer"
A3GALT2,Attention deficit hyperactivity disorder
AAAS,"Hypospadias, Osteoporosis"
AACS,Attention deficit hyperactivity disorder
AAGAB,"Inflammatory bowel disease, Colorectal adenoma, Heart disease, Asthma, Thyroid gland carcinoma, Allergic rhinitis, Myocardial infarction, Osteoarthritis, Crohn's disease, Colorectal cancer"
AAK1,"Atrial fibrillation, Dental caries"
AAMP,"Inflammatory bowel disease, Colorectal adenoma, Gallbladder disease, Ulcerative colitis, Crohn's disease, Colorectal cancer"
AAR2,Basal cell carcinoma
AARS2,Rheumatoid arthritis
AARSD1,Ovarian carcinoma
AASS,Ovarian carcinoma
AATK,"Attention deficit hyperactivity disorder, Endogenous depression"
ABCA1,"open-angle glaucoma, Age related macular degeneration, Kuhnt-Junius degeneration, Heart disease, Abdominal obesity-metabolic syndrome 1"
ABCA12,Neuroblastoma
ABCA3,Atrial fibrillation
ABCA4,Cleft lip
ABCA7,"Inflammatory bowel disease, Age related macular degeneration, Kuhnt-Junius degeneration, Primary biliary cholangitis, Basal cell carcinoma, Crohn's disease, Colorectal cancer"
ABCB1,"Gallbladder disease, Cholelithiasis, Gallbladder cancer, Alopecia"
ABCB11,Abdominal obesity-metabolic syndrome 1
ABCB4,"Gallbladder disease, Cholelithiasis, Gallbladder cancer, Alopecia"
ABCB5,Allergic rhinitis
ABCB8,"Atrial fibrillation, Hypertension, Abdominal obesity-metabolic syndrome 1, Allergic rhinitis, Myocardial infarction, Cerebrovascular disease"
ABCB9,"Atrial fibrillation, Allergic rhinitis"
ABCC1,Multiple myeloma
ABCC10,Autism spectrum disorder
ABCC5,Esophagus adenocarcinoma
ABCC8,Psoriasis
ABCC9,Brain disease
ABCF1,"Swine influenza, Autism spectrum disorder, Prostate carcinoma, Graves' disease, Chronic obstructive pulmonary disease, Lung carcinoma, Lung squamous cell carcinoma, Cervical cancer, Psoriatic arthritis"
ABCF2,Multiple myeloma
ABCG1,Pancreatic carcinoma
ABCG2,"Gout, Hyperuricemia, Nephrolithiasis"
ABCG4,Heart disease
ABCG5,"Gallbladder disease, Cholelithiasis, Heart disease, Pancreatitis"
ABCG8,"Gallbladder disease, Cholelithiasis, Heart disease, Pancreatitis"
ABHD12B,"Colorectal cancer, Acute lymphoblastic leukemia"
ABHD14A,Amyotrophic lateral sclerosis
ABHD14B,Amyotrophic lateral sclerosis
ABHD15,Heart disease
